"Date","MZMSL"
1972-11-01,565.5
1972-12-01,570.7
1973-01-01,574.1
1973-02-01,575.2
1973-03-01,575.2
1973-04-01,576.5
1973-05-01,580
1973-06-01,583.3
1973-07-01,584.9
1973-08-01,583.7
1973-09-01,582.9
1973-10-01,584.5
1973-11-01,586.9
1973-12-01,589.7
1974-01-01,591.5
1974-02-01,593.2
1974-03-01,595.6
1974-04-01,597
1974-05-01,597.6
1974-06-01,599.2
1974-07-01,601.5
1974-08-01,602.8
1974-09-01,604.5
1974-10-01,607.7
1974-11-01,611.4
1974-12-01,614.4
1975-01-01,616.9
1975-02-01,621.3
1975-03-01,627.5
1975-04-01,632.4
1975-05-01,640.9
1975-06-01,651
1975-07-01,657.3
1975-08-01,661.2
1975-09-01,666.2
1975-10-01,668.8
1975-11-01,674.3
1975-12-01,678.8
1976-01-01,685.5
1976-02-01,696
1976-03-01,703.8
1976-04-01,710.9
1976-05-01,716.7
1976-06-01,718.6
1976-07-01,723
1976-08-01,729.9
1976-09-01,735.5
1976-10-01,744.2
1976-11-01,753.1
1976-12-01,761.9
1977-01-01,769.8
1977-02-01,777.4
1977-03-01,782.7
1977-04-01,788.4
1977-05-01,792.2
1977-06-01,795.6
1977-07-01,800
1977-08-01,806.3
1977-09-01,811.6
1977-10-01,816
1977-11-01,821.8
1977-12-01,825.9
1978-01-01,832.1
1978-02-01,835
1978-03-01,838.3
1978-04-01,842.7
1978-05-01,849.2
1978-06-01,850.4
1978-07-01,847.4
1978-08-01,850.2
1978-09-01,854.3
1978-10-01,854.3
1978-11-01,852.4
1978-12-01,848.5
1979-01-01,842
1979-02-01,839
1979-03-01,840.2
1979-04-01,844
1979-05-01,845
1979-06-01,851.9
1979-07-01,859.1
1979-08-01,864.6
1979-09-01,863.6
1979-10-01,858.2
1979-11-01,849.9
1979-12-01,849.8
1980-01-01,852.4
1980-02-01,856
1980-03-01,846.1
1980-04-01,827.3
1980-05-01,830.2
1980-06-01,851.1
1980-07-01,873.3
1980-08-01,892.1
1980-09-01,901.3
1980-10-01,906.2
1980-11-01,903.3
1980-12-01,887.3
1981-01-01,875.1
1981-02-01,879.7
1981-03-01,892.7
1981-04-01,915
1981-05-01,911.7
1981-06-01,908.9
1981-07-01,920
1981-08-01,923.3
1981-09-01,930.6
1981-10-01,938.5
1981-11-01,950.6
1981-12-01,970.6
1982-01-01,983.6
1982-02-01,977.3
1982-03-01,978.9
1982-04-01,986.9
1982-05-01,993.3
1982-06-01,1000.2
1982-07-01,999.4
1982-08-01,1016.5
1982-09-01,1030.1
1982-10-01,1049.1
1982-11-01,1066.9
1982-12-01,1103.8
1983-01-01,1212.1
1983-02-01,1288.9
1983-03-01,1324.1
1983-04-01,1340.5
1983-05-01,1360
1983-06-01,1370.4
1983-07-01,1373
1983-08-01,1372.9
1983-09-01,1373.8
1983-10-01,1377.1
1983-11-01,1377.3
1983-12-01,1380.3
1984-01-01,1386.5
1984-02-01,1399.5
1984-03-01,1412.1
1984-04-01,1423.2
1984-05-01,1427.5
1984-06-01,1429.5
1984-07-01,1427
1984-08-01,1419.6
1984-09-01,1422.3
1984-10-01,1437.3
1984-11-01,1458.5
1984-12-01,1483.7
1985-01-01,1512.7
1985-02-01,1536.4
1985-03-01,1547.8
1985-04-01,1555.7
1985-05-01,1569.4
1985-06-01,1596
1985-07-01,1612.6
1985-08-01,1630.7
1985-09-01,1643.6
1985-10-01,1655.7
1985-11-01,1664.8
1985-12-01,1675.6
1986-01-01,1683.6
1986-02-01,1693.8
1986-03-01,1714.1
1986-04-01,1743.1
1986-05-01,1776
1986-06-01,1801.8
1986-07-01,1827.7
1986-08-01,1855
1986-09-01,1884
1986-10-01,1911.3
1986-11-01,1930.5
1986-12-01,1960.6
1987-01-01,1977.6
1987-02-01,1986.1
1987-03-01,1995.7
1987-04-01,2011.8
1987-05-01,2016.2
1987-06-01,2012.9
1987-07-01,2010.4
1987-08-01,2012
1987-09-01,2014
1987-10-01,2018.7
1987-11-01,2009.1
1987-12-01,2004.6
1988-01-01,2016.4
1988-02-01,2026.2
1988-03-01,2035.4
1988-04-01,2045.2
1988-05-01,2053
1988-06-01,2058.2
1988-07-01,2059.9
1988-08-01,2056.1
1988-09-01,2049.7
1988-10-01,2046
1988-11-01,2052.1
1988-12-01,2051.7
1989-01-01,2041.6
1989-02-01,2029.6
1989-03-01,2025.4
1989-04-01,2016.9
1989-05-01,2007.2
1989-06-01,2014.4
1989-07-01,2033.6
1989-08-01,2051
1989-09-01,2067.4
1989-10-01,2086.1
1989-11-01,2103.3
1989-12-01,2119.6
1990-01-01,2135.4
1990-02-01,2146.2
1990-03-01,2156.9
1990-04-01,2167.7
1990-05-01,2166
1990-06-01,2177.5
1990-07-01,2187.3
1990-08-01,2205.6
1990-09-01,2222.1
1990-10-01,2229.5
1990-11-01,2232.9
1990-12-01,2245.1
1991-01-01,2267.1
1991-02-01,2292.2
1991-03-01,2316.9
1991-04-01,2339.2
1991-05-01,2361.8
1991-06-01,2382.3
1991-07-01,2396.4
1991-08-01,2406.9
1991-09-01,2419.8
1991-10-01,2445.9
1991-11-01,2472.3
1991-12-01,2502.7
1992-01-01,2537.9
1992-02-01,2586.2
1992-03-01,2611.3
1992-04-01,2629
1992-05-01,2652.9
1992-06-01,2667
1992-07-01,2687.5
1992-08-01,2714.9
1992-09-01,2739.6
1992-10-01,2758.4
1992-11-01,2774.7
1992-12-01,2778.2
1993-01-01,2777.1
1993-02-01,2785.4
1993-03-01,2791.8
1993-04-01,2798.1
1993-05-01,2835.7
1993-06-01,2845.8
1993-07-01,2851.9
1993-08-01,2862.6
1993-09-01,2876.2
1993-10-01,2888
1993-11-01,2908.3
1993-12-01,2920.1
1994-01-01,2922.7
1994-02-01,2917.4
1994-03-01,2929.1
1994-04-01,2936.6
1994-05-01,2941.2
1994-06-01,2925.4
1994-07-01,2929.7
1994-08-01,2921.3
1994-09-01,2915.1
1994-10-01,2910.5
1994-11-01,2904.4
1994-12-01,2894
1995-01-01,2889.7
1995-02-01,2863.3
1995-03-01,2850.8
1995-04-01,2848.3
1995-05-01,2866.5
1995-06-01,2894.9
1995-07-01,2914.8
1995-08-01,2934.1
1995-09-01,2947.2
1995-10-01,2959.3
1995-11-01,2965.6
1995-12-01,2976.2
1996-01-01,2998.8
1996-02-01,3018.7
1996-03-01,3052.1
1996-04-01,3063.9
1996-05-01,3077.1
1996-06-01,3097
1996-07-01,3117.7
1996-08-01,3126.6
1996-09-01,3139.5
1996-10-01,3157.6
1996-11-01,3182.1
1996-12-01,3210.4
1997-01-01,3227.1
1997-02-01,3245.8
1997-03-01,3268.7
1997-04-01,3283.5
1997-05-01,3296.3
1997-06-01,3317.8
1997-07-01,3340.9
1997-08-01,3378.6
1997-09-01,3403.9
1997-10-01,3427.8
1997-11-01,3452.7
1997-12-01,3479.7
1998-01-01,3510.3
1998-02-01,3547.8
1998-03-01,3581.4
1998-04-01,3623
1998-05-01,3661.9
1998-06-01,3696.5
1998-07-01,3725.1
1998-08-01,3768.1
1998-09-01,3824.5
1998-10-01,3888.5
1998-11-01,3946.3
1998-12-01,3990.6
1999-01-01,4027.1
1999-02-01,4070
1999-03-01,4080.1
1999-04-01,4126.4
1999-05-01,4159
1999-06-01,4185.8
1999-07-01,4210.5
1999-08-01,4237.3
1999-09-01,4251.8
1999-10-01,4283.6
1999-11-01,4315.7
1999-12-01,4353.5
2000-01-01,4391.4
2000-02-01,4395.8
2000-03-01,4434.9
2000-04-01,4486.8
2000-05-01,4477.1
2000-06-01,4491.1
2000-07-01,4525.8
2000-08-01,4563.1
2000-09-01,4612
2000-10-01,4632.5
2000-11-01,4646.3
2000-12-01,4701.8
2001-01-01,4788.3
2001-02-01,4888.7
2001-03-01,4976.8
2001-04-01,5075.7
2001-05-01,5125.3
2001-06-01,5207
2001-07-01,5259.6
2001-08-01,5284.9
2001-09-01,5451.8
2001-10-01,5525.1
2001-11-01,5609.8
2001-12-01,5695
2002-01-01,5724.9
2002-02-01,5773.5
2002-03-01,5796.8
2002-04-01,5810.9
2002-05-01,5847.5
2002-06-01,5872.1
2002-07-01,5917.3
2002-08-01,5950.4
2002-09-01,5962.7
2002-10-01,5991.6
2002-11-01,6120.4
2002-12-01,6171.8
2003-01-01,6184.6
2003-02-01,6216.5
2003-03-01,6224.6
2003-04-01,6245.1
2003-05-01,6292.4
2003-06-01,6341.2
2003-07-01,6439.3
2003-08-01,6472.8
2003-09-01,6445.2
2003-10-01,6428
2003-11-01,6422.3
2003-12-01,6393.2
2004-01-01,6406.8
2004-02-01,6444.6
2004-03-01,6486.7
2004-04-01,6534.5
2004-05-01,6618.1
2004-06-01,6616.4
2004-07-01,6617.6
2004-08-01,6631
2004-09-01,6650.3
2004-10-01,6655.6
2004-11-01,6674.5
2004-12-01,6680.1
2005-01-01,6669.5
2005-02-01,6657.6
2005-03-01,6648.8
2005-04-01,6655.8
2005-05-01,6653
2005-06-01,6683.5
2005-07-01,6716.7
2005-08-01,6741.5
2005-09-01,6779.1
2005-10-01,6813.7
2005-11-01,6820
2005-12-01,6850.4
2006-01-01,6889.2
2006-02-01,6897.7
2006-03-01,6902.5
2006-04-01,6933.9
2006-05-01,6937.6
2006-06-01,6977.4
2006-07-01,7014.3
2006-08-01,7040.8
2006-09-01,7068.7
2006-10-01,7124.5
2006-11-01,7167
2006-12-01,7242.1
2007-01-01,7260.5
2007-02-01,7279.7
2007-03-01,7336.1
2007-04-01,7430.2
2007-05-01,7478.6
2007-06-01,7542.5
2007-07-01,7614.4
2007-08-01,7765.7
2007-09-01,7884.3
2007-10-01,7985.1
2007-11-01,8075.8
2007-12-01,8146
2008-01-01,8194
2008-02-01,8408.8
2008-03-01,8568.3
2008-04-01,8654.6
2008-05-01,8696.9
2008-06-01,8747.5
2008-07-01,8796.9
2008-08-01,8806
2008-09-01,8811.5
2008-10-01,8848.8
2008-11-01,8964
2008-12-01,9185.2
2009-01-01,9339.4
2009-02-01,9411.3
2009-03-01,9510.2
2009-04-01,9541.4
2009-05-01,9632.2
2009-06-01,9648
2009-07-01,9658.8
2009-08-01,9632.2
2009-09-01,9611.8
2009-10-01,9597.4
2009-11-01,9594
2009-12-01,9553.5
2010-01-01,9502.2
2010-02-01,9511.7
2010-03-01,9455.4
2010-04-01,9420.7
2010-05-01,9447.9
2010-06-01,9459.7
2010-07-01,9492
2010-08-01,9569.5
2010-09-01,9624.5
2010-10-01,9685.8
2010-11-01,9726.9
2010-12-01,9752
2011-01-01,9728.2
2011-02-01,9804.5
2011-03-01,9895.3
2011-04-01,10001.3
2011-05-01,10114.7
2011-06-01,10177.9
2011-07-01,10324.4
2011-08-01,10431
2011-09-01,10468.8
2011-10-01,10517.8
2011-11-01,10574.9
2011-12-01,10631.1
2012-01-01,10698.1
2012-02-01,10761.4
2012-03-01,10833.1
2012-04-01,10900.9
2012-05-01,10958
2012-06-01,11030.2
2012-07-01,11088.3
2012-08-01,11167
2012-09-01,11250.3
2012-10-01,11321.1
2012-11-01,11396.9
2012-12-01,11539.4
2013-01-01,11593.3
2013-02-01,11627.9
2013-03-01,11680.7
2013-04-01,11731.9
2013-05-01,11772.9
2013-06-01,11847.2
2013-07-01,11897.6
2013-08-01,11948.2
2013-09-01,12033.1
2013-10-01,12155.8
2013-11-01,12171.7
2013-12-01,12226
2014-01-01,12283.5
2014-02-01,12386.8
2014-03-01,12413.7
2014-04-01,12456.2
2014-05-01,12522.9
2014-06-01,12571.9
2014-07-01,12626.9
2014-08-01,12641.8
2014-09-01,12697.7
2014-10-01,12789.7
2014-11-01,12847.2
2014-12-01,12952
2015-01-01,13025.6
2015-02-01,13159.9
2015-03-01,13185.3
2015-04-01,13230.6
2015-05-01,13274.2
2015-06-01,13336.5
2015-07-01,13412.6
2015-08-01,13485.1
2015-09-01,13534.1
2015-10-01,13603.1
2015-11-01,13697.5
2015-12-01,13742.4
2016-01-01,13798.5
2016-02-01,13903.4
2016-03-01,13998.8
2016-04-01,14092.7
2016-05-01,14168.5
2016-06-01,14245.1
2016-07-01,14303.8
2016-08-01,14402.1
2016-09-01,14443.6
2016-10-01,14473.6
2016-11-01,14552.7
2016-12-01,14591.9
2017-01-01,14642.4
2017-02-01,14715.5
2017-03-01,14774.4
2017-04-01,14837.3
2017-05-01,14902.5
2017-06-01,14911.4
2017-07-01,14947.1
2017-08-01,15033.1
2017-09-01,15096.7
2017-10-01,15158.8
2017-11-01,15177
2017-12-01,15260
2018-01-01,15278.8
2018-02-01,15320.7
2018-03-01,15379.6
2018-04-01,15406.2
2018-05-01,15455
2018-06-01,15506
2018-07-01,15518.1
2018-08-01,15544.2
2018-09-01,15570.8
2018-10-01,15564
2018-11-01,15575.6
2018-12-01,15697.7
2019-01-01,15767
2019-02-01,15807.1
2019-03-01,15848.6
2019-04-01,15880
2019-05-01,16008.6
2019-06-01,16162.4
2019-07-01,16299.8
2019-08-01,16422.2
2019-09-01,16560.6
2019-10-01,16747.9
2019-11-01,16903.1
2019-12-01,17008.3
2020-01-01,17113.7
2020-02-01,17194.1
2020-03-01,17970.8
2020-04-01,19615.4
2020-05-01,20700.8
2020-06-01,20927
2020-07-01,21024.2
2020-08-01,21057.5
2020-09-01,21234.8
2020-10-01,21356.8
2020-11-01,21559.7
2020-12-01,21734.9
2021-01-01,21983.1
