"Date","NFORBRES"
1959-01-01,-0.054
1959-02-01,-0.051
1959-03-01,-0.139
1959-04-01,-0.261
1959-05-01,-0.32
1959-06-01,-0.523
1959-07-01,-0.545
1959-08-01,-0.542
1959-09-01,-0.484
1959-10-01,-0.466
1959-11-01,-0.415
1959-12-01,-0.435
1960-01-01,-0.373
1960-02-01,-0.356
1960-03-01,-0.218
1960-04-01,-0.18
1960-05-01,-0.051
1960-06-01,0.045
1960-07-01,0.122
1960-08-01,0.246
1960-09-01,0.412
1960-10-01,0.495
1960-11-01,0.61
1960-12-01,0.669
1961-01-01,0.706
1961-02-01,0.516
1961-03-01,0.476
1961-04-01,0.559
1961-05-01,0.461
1961-06-01,0.527
1961-07-01,0.562
1961-08-01,0.514
1961-09-01,0.542
1961-10-01,0.461
1961-11-01,0.493
1961-12-01,0.451
1962-01-01,0.536
1962-02-01,0.434
1962-03-01,0.383
1962-04-01,0.42
1962-05-01,0.456
1962-06-01,0.371
1962-07-01,0.442
1962-08-01,0.405
1962-09-01,0.409
1962-10-01,0.414
1962-11-01,0.437
1962-12-01,0.312
1963-01-01,0.359
1963-02-01,0.295
1963-03-01,0.286
1963-04-01,0.327
1963-05-01,0.22
1963-06-01,0.158
1963-07-01,0.156
1963-08-01,0.116
1963-09-01,0.109
1963-10-01,0.077
1963-11-01,0.092
1963-12-01,0.158
1964-01-01,0.166
1964-02-01,0.111
1964-03-01,0.108
1964-04-01,0.141
1964-05-01,0.094
1964-06-01,0.107
1964-07-01,0.113
1964-08-01,0.106
1964-09-01,0.086
1964-10-01,0.077
1964-11-01,0.008
1964-12-01,0.142
1965-01-01,0.115
1965-02-01,0.007
1965-03-01,-0.045
1965-04-01,-0.13
1965-05-01,-0.161
1965-06-01,-0.175
1965-07-01,-0.175
1965-08-01,-0.151
1965-09-01,-0.144
1965-10-01,-0.13
1965-11-01,-0.08
1965-12-01,-0.021
1966-01-01,-0.041
1966-02-01,-0.135
1966-03-01,-0.218
1966-04-01,-0.282
1966-05-01,-0.346
1966-06-01,-0.351
1966-07-01,-0.363
1966-08-01,-0.368
1966-09-01,-0.398
1966-10-01,-0.401
1966-11-01,-0.222
1966-12-01,-0.193
1967-01-01,-0.007
1967-02-01,0.005
1967-03-01,0.214
1967-04-01,0.204
1967-05-01,0.276
1967-06-01,0.246
1967-07-01,0.303
1967-08-01,0.284
1967-09-01,0.253
1967-10-01,0.206
1967-11-01,0.226
1967-12-01,0.147
1968-01-01,0.141
1968-02-01,0.013
1968-03-01,-0.322
1968-04-01,-0.35
1968-05-01,-0.381
1968-06-01,-0.366
1968-07-01,-0.176
1968-08-01,-0.236
1968-09-01,-0.143
1968-10-01,-0.198
1968-11-01,-0.237
1968-12-01,-0.32
1969-01-01,-0.49
1969-02-01,-0.581
1969-03-01,-0.683
1969-04-01,-0.836
1969-05-01,-1.119
1969-06-01,-1.081
1969-07-01,-1.027
1969-08-01,-0.982
1969-09-01,-0.805
1969-10-01,-0.987
1969-11-01,-0.974
1969-12-01,-0.833
1970-01-01,-0.785
1970-02-01,-0.872
1970-03-01,-0.735
1970-04-01,-0.693
1970-05-01,-0.811
1970-06-01,-0.691
1970-07-01,-1.194
1970-08-01,-0.663
1970-09-01,-0.356
1970-10-01,-0.258
1970-11-01,-0.181
1970-12-01,-0.083
1971-01-01,-0.13
1971-02-01,-0.078
1971-03-01,-0.124
1971-04-01,0.015
1971-05-01,-0.065
1971-06-01,-0.291
1971-07-01,-0.639
1971-08-01,-0.613
1971-09-01,-0.306
1971-10-01,-0.194
1971-11-01,-0.147
1971-12-01,0.056
1972-01-01,0.185
1972-02-01,0.119
1972-03-01,0.092
1972-04-01,0.039
1972-05-01,0.028
1972-06-01,0.103
1972-07-01,-0.045
1972-08-01,-0.2
1972-09-01,-0.329
1972-10-01,-0.344
1972-11-01,-0.254
1972-12-01,-0.766
1973-01-01,-0.902
1973-02-01,-1.396
1973-03-01,-1.615
1973-04-01,-1.488
1973-05-01,-1.704
1973-06-01,-1.626
1973-07-01,-1.638
1973-08-01,-1.968
1973-09-01,-1.595
1973-10-01,-1.208
1973-11-01,-1.168
1973-12-01,-0.994
1974-01-01,-0.886
1974-02-01,-1.007
1974-03-01,-1.18
1974-04-01,-1.554
1974-05-01,-1.772
1974-06-01,-1.582
1974-07-01,-1.709
1974-08-01,-1.611
1974-09-01,-1.472
1974-10-01,-1.208
1974-11-01,-0.887
1974-12-01,-0.322
1975-01-01,-0.115
1975-02-01,0.1
1975-03-01,0.131
1975-04-01,0.059
1975-05-01,0.093
1975-06-01,-0.01
1975-07-01,-0.093
1975-08-01,-0.004
1975-09-01,-0.192
1975-10-01,0.028
1975-11-01,0.228
1975-12-01,0.148
1976-01-01,0.173
1976-02-01,0.147
1976-03-01,0.172
1976-04-01,0.111
1976-05-01,0.095
1976-06-01,0.087
1976-07-01,0.101
1976-08-01,0.107
1976-09-01,0.139
1976-10-01,0.125
1976-11-01,0.185
1976-12-01,0.221
1977-01-01,0.198
1977-02-01,0.126
1977-03-01,0.112
1977-04-01,0.119
1977-05-01,0.002
1977-06-01,-0.115
1977-07-01,-0.048
1977-08-01,-0.861
1977-09-01,-0.417
1977-10-01,-1.096
1977-11-01,-0.611
1977-12-01,-0.379
1978-01-01,-0.217
1978-02-01,-0.165
1978-03-01,-0.129
1978-04-01,-0.409
1978-05-01,-0.993
1978-06-01,-0.916
1978-07-01,-1.12
1978-08-01,-0.972
1978-09-01,-0.867
1978-10-01,-1.115
1978-11-01,-0.481
1978-12-01,-0.636
1979-01-01,-0.789
1979-02-01,-0.764
1979-03-01,-0.833
1979-04-01,-0.742
1979-05-01,-1.624
1979-06-01,-1.197
1979-07-01,-0.96
1979-08-01,-0.863
1979-09-01,-1.149
1979-10-01,-1.75
1979-11-01,-1.661
1979-12-01,-1.031
1980-01-01,-0.99
1980-02-01,-1.444
1980-03-01,-2.538
1980-04-01,-1.706
1980-05-01,-0.097
1980-06-01,0.131
1980-07-01,0.142
1980-08-01,-0.115
1980-09-01,-0.964
1980-10-01,-1.104
1980-11-01,-1.539
1980-12-01,-1.173
1981-01-01,-0.951
1981-02-01,-0.932
1981-03-01,-0.705
1981-04-01,-1.161
1981-05-01,-1.96
1981-06-01,-1.692
1981-07-01,-1.336
1981-08-01,-1.048
1981-09-01,-0.741
1981-10-01,-0.465
1981-11-01,-0.154
1981-12-01,-0.169
1982-01-01,-0.902
1982-02-01,-1.253
1982-03-01,-0.886
1982-04-01,-1.05
1982-05-01,-0.582
1982-06-01,-0.793
1982-07-01,-0.327
1982-08-01,-0.109
1982-09-01,-0.43
1982-10-01,0.068
1982-11-01,-0.031
1982-12-01,0.052
1983-01-01,0.176
1983-02-01,0.132
1983-03-01,-0.042
1983-04-01,-0.128
1983-05-01,0.01
1983-06-01,-0.198
1983-07-01,-0.368
1983-08-01,-0.609
1983-09-01,-0.428
1983-10-01,-0.083
1983-11-01,-0.37
1983-12-01,-0.211
1984-01-01,-0.098
1984-02-01,0.344
1984-03-01,-0.257
1984-04-01,-0.717
1984-05-01,-2.381
1984-06-01,-0.667
1984-07-01,-0.286
1984-08-01,-0.293
1984-09-01,-0.133
1984-10-01,-0.342
1984-11-01,-0.081
1984-12-01,0.253
1985-01-01,0.398
1985-02-01,0.364
1985-03-01,0.141
1985-04-01,0.281
1985-05-01,-0.047
1985-06-01,0.383
1985-07-01,0.24
1985-08-01,0.332
1985-09-01,0.065
1985-10-01,0.187
