"Date","EXTENDNS"
1975-05-01,0.004
1975-06-01,0.016
1975-07-01,0.02
1975-08-01,0.012
1975-09-01,0.014
1975-10-01,0.011
1975-11-01,0.005
1975-12-01,0.012
1976-01-01,0.011
1976-02-01,0.009
1976-03-01,0.003
1976-04-01,0
1976-05-01,0
1976-06-01,0
1976-07-01,0
1976-08-01,0
1976-09-01,0
1976-10-01,0
1976-11-01,0
1976-12-01,0
1977-01-01,0
1977-02-01,0
1977-03-01,0
1977-04-01,0
1977-05-01,0
1977-06-01,0
1977-07-01,0
1977-08-01,0
1977-09-01,0
1977-10-01,0
1977-11-01,0
1977-12-01,0
1978-01-01,0
1978-02-01,0
1978-03-01,0
1978-04-01,0
1978-05-01,0
1978-06-01,0
1978-07-01,0
1978-08-01,0
1978-09-01,0
1978-10-01,0
1978-11-01,0
1978-12-01,0
1979-01-01,0
1979-02-01,0
1979-03-01,0
1979-04-01,0
1979-05-01,0
1979-06-01,0
1979-07-01,0
1979-08-01,0
1979-09-01,0
1979-10-01,0
1979-11-01,0
1979-12-01,0
1980-01-01,0
1980-02-01,0
1980-03-01,0.099
1980-04-01,0.552
1980-05-01,0.743
1980-06-01,0.307
1980-07-01,0.253
1980-08-01,0.241
1980-09-01,0.091
1980-10-01,0
1980-11-01,0
1980-12-01,0.003
1981-01-01,0.07
1981-02-01,0.021
1981-03-01,0.015
1981-04-01,0.008
1981-05-01,0.006
1981-06-01,0.007
1981-07-01,0.003
1981-08-01,0.08
1981-09-01,0.301
1981-10-01,0.438
1981-11-01,0.165
1981-12-01,0.148
1982-01-01,0.197
1982-02-01,0.232
1982-03-01,0.308
1982-04-01,0.245
1982-05-01,0.176
1982-06-01,0.104
1982-07-01,0.05
1982-08-01,0.094
1982-09-01,0.119
1982-10-01,0.141
1982-11-01,0.188
1982-12-01,0.186
1983-01-01,0.157
1983-02-01,0.279
1983-03-01,0.317
1983-04-01,0.405
1983-05-01,0.513
1983-06-01,0.958
1983-07-01,0.578
1983-08-01,0.491
1983-09-01,0.515
1983-10-01,0.256
1983-11-01,0.006
1983-12-01,0.002
1984-01-01,0.004
1984-02-01,0.005
1984-03-01,0.027
1984-04-01,0.044
1984-05-01,0.037
1984-06-01,1.873
1984-07-01,5.008
1984-08-01,7.043
1984-09-01,6.459
1984-10-01,5.057
1984-11-01,3.837
1984-12-01,2.604
1985-01-01,1.05
1985-02-01,0.803
1985-03-01,1.059
1985-04-01,0.868
1985-05-01,0.534
1985-06-01,0.665
1985-07-01,0.507
1985-08-01,0.57
1985-09-01,0.656
1985-10-01,0.629
1985-11-01,0.53
1985-12-01,0.499
1986-01-01,0.497
1986-02-01,0.492
1986-03-01,0.518
1986-04-01,0.634
1986-05-01,0.584
1986-06-01,0.531
1986-07-01,0.378
1986-08-01,0.465
1986-09-01,0.57
1986-10-01,0.497
1986-11-01,0.418
1986-12-01,0.303
1987-01-01,0.225
1987-02-01,0.283
1987-03-01,0.264
1987-04-01,0.27
1987-05-01,0.288
1987-06-01,0.273
1987-07-01,0.195
1987-08-01,0.132
1987-09-01,0.409
1987-10-01,0.449
1987-11-01,0.394
1987-12-01,0.483
1988-01-01,0.372
1988-02-01,0.205
1988-03-01,1.478
1988-04-01,2.624
1988-05-01,2.107
1988-06-01,2.554
1988-07-01,2.538
1988-08-01,2.653
1988-09-01,2.059
1988-10-01,1.781
1988-11-01,2.322
1988-12-01,1.244
1989-01-01,1.038
1989-02-01,1.05
1989-03-01,1.334
1989-04-01,1.707
1989-05-01,1.197
1989-06-01,0.917
1989-07-01,0.106
1989-08-01,0.041
1989-09-01,0.022
1989-10-01,0.021
1989-11-01,0.021
1989-12-01,0.02
1990-01-01,0.026
1990-02-01,0.535
1990-03-01,1.95
1990-04-01,1.384
1990-05-01,0.872
1990-06-01,0.346
1990-07-01,0.28
1990-08-01,0.127
1990-09-01,0.006
1990-10-01,0.018
1990-11-01,0.025
1990-12-01,0.023
1991-01-01,0.027
1991-02-01,0.034
1991-03-01,0.053
1991-04-01,0.086
1991-05-01,0.088
1991-06-01,0.008
1991-07-01,0.046
1991-08-01,0.3
1991-09-01,0.302
1991-10-01,0.012
1991-11-01,0.001
1991-12-01,0.001
1992-01-01,0.001
1992-02-01,0.002
1992-03-01,0.002
1992-04-01,0.002
1992-05-01,0
1992-06-01,0
1992-07-01,0
1992-08-01,0
1992-09-01,0
1992-10-01,0
1992-11-01,0
1992-12-01,0.001
1993-01-01,0.001
1993-02-01,0
1993-03-01,0
1993-04-01,0
1993-05-01,0
1993-06-01,0
1993-07-01,0
1993-08-01,0
1993-09-01,0
1993-10-01,0
1993-11-01,0
1993-12-01,0
1994-01-01,0
1994-02-01,0
1994-03-01,0
1994-04-01,0
1994-05-01,0
1994-06-01,0
1994-07-01,0
1994-08-01,0
1994-09-01,0
1994-10-01,0
1994-11-01,0
1994-12-01,0
1995-01-01,0.004
1995-02-01,0
1995-03-01,0
1995-04-01,0
1995-05-01,0
1995-06-01,0
1995-07-01,0
1995-08-01,0
1995-09-01,0
1995-10-01,0
1995-11-01,0
1995-12-01,0
1996-01-01,0
1996-02-01,0
1996-03-01,0
1996-04-01,0
