"Date","OCDTIS"
1994-05-01,111.9
1994-06-01,111.1
1994-07-01,111.2
1994-08-01,110.3
1994-09-01,109.4
1994-10-01,108.2
1994-11-01,107.6
1994-12-01,106.6
1995-01-01,106.1
1995-02-01,104.8
1995-03-01,103.9
1995-04-01,103.7
1995-05-01,104.1
1995-06-01,105
1995-07-01,104.6
1995-08-01,105.5
1995-09-01,106.4
1995-10-01,106.6
1995-11-01,106.6
1995-12-01,107.6
1996-01-01,107.5
1996-02-01,107.9
1996-03-01,109.3
1996-04-01,107.3
1996-05-01,107.8
1996-06-01,107.7
1996-07-01,106.3
1996-08-01,105.8
1996-09-01,105
1996-10-01,104.8
1996-11-01,105.4
1996-12-01,103.6
1997-01-01,103.1
1997-02-01,102.2
1997-03-01,100.6
1997-04-01,98.2
1997-05-01,97.7
1997-06-01,97
1997-07-01,96.9
1997-08-01,97.6
1997-09-01,96.4
1997-10-01,97.3
1997-11-01,97.7
1997-12-01,96.7
1998-01-01,97.6
1998-02-01,98.4
1998-03-01,99.2
1998-04-01,100.1
1998-05-01,100
1998-06-01,99
1998-07-01,100.8
1998-08-01,100.5
1998-09-01,101
1998-10-01,103.9
1998-11-01,104.7
1998-12-01,105.9
1999-01-01,106.4
1999-02-01,105.4
1999-03-01,104.2
1999-04-01,104.7
1999-05-01,105
1999-06-01,103.8
1999-07-01,104.2
1999-08-01,103.2
1999-09-01,102.4
1999-10-01,104
1999-11-01,103.4
1999-12-01,103.6
2000-01-01,103.7
2000-02-01,104.1
2000-03-01,105.2
2000-04-01,107
2000-05-01,105.4
2000-06-01,105.1
2000-07-01,106.4
2000-08-01,104.8
2000-09-01,104.8
2000-10-01,105.3
2000-11-01,105.2
2000-12-01,105.4
2001-01-01,105.5
2001-02-01,107.5
2001-03-01,109.9
2001-04-01,111.4
2001-05-01,111.2
2001-06-01,115.5
2001-07-01,117.3
2001-08-01,117.7
2001-09-01,117.9
2001-10-01,110.7
2001-11-01,112.6
2001-12-01,115.6
2002-01-01,116
2002-02-01,116.4
2002-03-01,117.3
2002-04-01,116.5
2002-05-01,117.9
2002-06-01,118.8
2002-07-01,117.9
2002-08-01,117.4
2002-09-01,118.7
2002-10-01,121.4
2002-11-01,125
2002-12-01,125
2003-01-01,125.5
2003-02-01,127
2003-03-01,127.2
2003-04-01,128
2003-05-01,130.3
2003-06-01,130.1
2003-07-01,132.6
2003-08-01,135.5
2003-09-01,135.6
2003-10-01,136.2
2003-11-01,136.8
2003-12-01,134.8
2004-01-01,135.9
2004-02-01,136.7
2004-03-01,136.6
2004-04-01,137.3
2004-05-01,139.9
2004-06-01,139.3
2004-07-01,140.7
2004-08-01,140.1
2004-09-01,137.7
2004-10-01,140.2
2004-11-01,140.5
2004-12-01,140.7
2005-01-01,139.6
2005-02-01,138.8
2005-03-01,137.9
2005-04-01,138.3
2005-05-01,138.1
2005-06-01,136.5
2005-07-01,136.7
2005-08-01,136.6
2005-09-01,137
2005-10-01,139.8
2005-11-01,139.2
2005-12-01,137.7
2006-01-01,137.9
2006-02-01,137.9
2006-03-01,137
2006-04-01,137.1
2006-05-01,134
2006-06-01,132.2
2006-07-01,132.4
2006-08-01,131.7
2006-09-01,130.2
2006-10-01,128.3
2006-11-01,126.8
2006-12-01,128.5
2007-01-01,129.6
2007-02-01,129
2007-03-01,131.4
2007-04-01,132
2007-05-01,130.7
2007-06-01,131
2007-07-01,130.9
2007-08-01,132.4
2007-09-01,133.9
2007-10-01,131.9
2007-11-01,128.4
2007-12-01,132.9
2008-01-01,134.1
2008-02-01,134.9
2008-03-01,134.9
2008-04-01,134.1
2008-05-01,136.1
2008-06-01,136.7
2008-07-01,139
2008-08-01,138.7
2008-09-01,138.3
2008-10-01,135.6
2008-11-01,132.8
2008-12-01,133
2009-01-01,135.7
2009-02-01,140.6
2009-03-01,141.6
2009-04-01,140.7
2009-05-01,140.1
2009-06-01,140.6
2009-07-01,142.7
2009-08-01,143.7
2009-09-01,144
2009-10-01,148.9
2009-11-01,144.2
2009-12-01,149
2010-01-01,151.4
2010-02-01,153
2010-03-01,151.5
2010-04-01,150.2
2010-05-01,152.3
2010-06-01,152.7
2010-07-01,153.4
2010-08-01,154.3
2010-09-01,155.5
2010-10-01,159
2010-11-01,158.3
2010-12-01,163.4
2011-01-01,162.9
2011-02-01,163.5
2011-03-01,164.3
2011-04-01,166.1
2011-05-01,166
2011-06-01,165.7
2011-07-01,166.9
2011-08-01,171.3
2011-09-01,173.5
2011-10-01,174.6
2011-11-01,175.2
2011-12-01,175.7
2012-01-01,175.8
2012-02-01,177.5
2012-03-01,179.3
2012-04-01,180.2
2012-05-01,182
2012-06-01,183.5
2012-07-01,183.8
2012-08-01,187.6
2012-09-01,189.9
2012-10-01,190.4
2012-11-01,191.5
2012-12-01,195.8
2013-01-01,196
2013-02-01,197.4
2013-03-01,199.6
2013-04-01,199.7
2013-05-01,200.5
2013-06-01,202.4
2013-07-01,204.5
2013-08-01,207
2013-09-01,207.9
2013-10-01,209.5
2013-11-01,209.8
2013-12-01,210.4
2014-01-01,211.4
2014-02-01,214.3
2014-03-01,212.7
2014-04-01,213.9
2014-05-01,214.3
2014-06-01,215.9
2014-07-01,216.6
2014-08-01,216.1
2014-09-01,214.7
2014-10-01,218
2014-11-01,218.3
2014-12-01,219.5
2015-01-01,221.4
2015-02-01,228.7
2015-03-01,226.3
2015-04-01,227.9
2015-05-01,229.5
2015-06-01,229.6
2015-07-01,230.2
2015-08-01,232
2015-09-01,233
2015-10-01,234.5
2015-11-01,233.5
2015-12-01,238.4
2016-01-01,237.8
2016-02-01,238.8
2016-03-01,239.8
2016-04-01,240.5
2016-05-01,241.9
2016-06-01,245.7
2016-07-01,248
2016-08-01,251.4
2016-09-01,254.3
2016-10-01,257.8
2016-11-01,258.7
2016-12-01,258.7
2017-01-01,268
2017-02-01,271
2017-03-01,271.9
2017-04-01,274.5
2017-05-01,275
2017-06-01,275.3
2017-07-01,278.2
2017-08-01,278.9
2017-09-01,280.2
2017-10-01,280.4
2017-11-01,285.8
2017-12-01,287.6
2018-01-01,289.5
2018-02-01,290.2
2018-03-01,289.6
2018-04-01,290.3
2018-05-01,291.1
2018-06-01,293.1
2018-07-01,293.7
2018-08-01,296.1
2018-09-01,297.7
2018-10-01,298.4
2018-11-01,294.7
2018-12-01,296.1
2019-01-01,291.1
2019-02-01,291.4
2019-03-01,291.8
2019-04-01,295.7
2019-05-01,300
2019-06-01,298.4
2019-07-01,299
2019-08-01,304.5
2019-09-01,304.5
2019-10-01,308
2019-11-01,303.4
2019-12-01,307
2020-01-01,313
2020-02-01,314
2020-03-01,319.6
2020-04-01,618.6
2020-05-01,657
2020-06-01,677.3
2020-07-01,713.3
2020-08-01,713.6
2020-09-01,737.4
2020-10-01,753
2020-11-01,769.3
2020-12-01,775.4
2021-01-01,814.4
