"Date","CURRNS"
1961-07-01,29
1961-08-01,28.9
1961-09-01,29.1
1961-10-01,29.2
1961-11-01,29.5
1961-12-01,29.9
1962-01-01,29.3
1962-02-01,29.1
1962-03-01,29.3
1962-04-01,29.5
1962-05-01,29.5
1962-06-01,29.8
1962-07-01,30.1
1962-08-01,30
1962-09-01,30.1
1962-10-01,30.1
1962-11-01,30.5
1962-12-01,30.9
1963-01-01,30.3
1963-02-01,30.2
1963-03-01,30.5
1963-04-01,30.6
1963-05-01,30.8
1963-06-01,31.1
1963-07-01,31.5
1963-08-01,31.6
1963-09-01,31.7
1963-10-01,31.8
1963-11-01,32.3
1963-12-01,32.8
1964-01-01,32.1
1964-02-01,32
1964-03-01,32.3
1964-04-01,32.4
1964-05-01,32.7
1964-06-01,33.1
1964-07-01,33.4
1964-08-01,33.5
1964-09-01,33.6
1964-10-01,33.7
1964-11-01,34.2
1964-12-01,34.6
1965-01-01,34
1965-02-01,33.9
1965-03-01,34
1965-04-01,34.1
1965-05-01,34.3
1965-06-01,34.6
1965-07-01,35.1
1965-08-01,35.2
1965-09-01,35.3
1965-10-01,35.7
1965-11-01,36.2
1965-12-01,36.7
1966-01-01,36.2
1966-02-01,36
1966-03-01,36.2
1966-04-01,36.4
1966-05-01,36.7
1966-06-01,36.9
1966-07-01,37.4
1966-08-01,37.5
1966-09-01,37.5
1966-10-01,37.7
1966-11-01,38.2
1966-12-01,38.7
1967-01-01,38.1
1967-02-01,37.9
1967-03-01,38.1
1967-04-01,38.2
1967-05-01,38.5
1967-06-01,38.8
1967-07-01,39.2
1967-08-01,39.2
1967-09-01,39.3
1967-10-01,39.6
1967-11-01,40
1967-12-01,40.8
1968-01-01,40.3
1968-02-01,39.9
1968-03-01,40.3
1968-04-01,40.6
1968-05-01,40.8
1968-06-01,41.4
1968-07-01,41.8
1968-08-01,42
1968-09-01,42.2
1968-10-01,42.4
1968-11-01,43.2
1968-12-01,43.9
1969-01-01,43
1969-02-01,43
1969-03-01,43.3
1969-04-01,43.4
1969-05-01,43.7
1969-06-01,44.3
1969-07-01,44.7
1969-08-01,44.9
1969-09-01,44.8
1969-10-01,45.2
1969-11-01,46
1969-12-01,46.5
1970-01-01,45.7
1970-02-01,45.5
1970-03-01,45.9
1970-04-01,46.2
1970-05-01,46.9
1970-06-01,47.2
1970-07-01,47.8
1970-08-01,47.8
1970-09-01,47.7
1970-10-01,48
1970-11-01,48.7
1970-12-01,49.5
1971-01-01,48.6
1971-02-01,48.6
1971-03-01,49
1971-04-01,49.5
1971-05-01,50
1971-06-01,50.5
1971-07-01,51.3
1971-08-01,51.3
1971-09-01,51.3
1971-10-01,51.6
1971-11-01,52.2
1971-12-01,52.9
1972-01-01,52
1972-02-01,52
1972-03-01,52.5
1972-04-01,52.9
1972-05-01,53.3
1972-06-01,53.8
1972-07-01,54.4
1972-08-01,54.4
1972-09-01,54.7
1972-10-01,55.1
1972-11-01,56.1
1972-12-01,57.3
1973-01-01,56.1
1973-02-01,56.1
1973-03-01,56.7
1973-04-01,57.5
1973-05-01,58
1973-06-01,58.7
1973-07-01,59.2
1973-08-01,59.3
1973-09-01,59.4
1973-10-01,59.7
1973-11-01,60.7
1973-12-01,61.9
1974-01-01,60.8
1974-02-01,61
1974-03-01,61.9
1974-04-01,62.7
1974-05-01,63.3
1974-06-01,63.9
1974-07-01,64.5
1974-08-01,64.9
1974-09-01,65
1974-10-01,65.6
1974-11-01,67
1974-12-01,68.2
1975-01-01,66.9
1975-02-01,66.9
1975-03-01,67.9
1975-04-01,68.2
1975-05-01,69.1
1975-06-01,70.3
1975-07-01,71
1975-08-01,71.3
1975-09-01,71
1975-10-01,71.6
1975-11-01,73
1975-12-01,74.1
1976-01-01,72.8
1976-02-01,73
1976-03-01,74
1976-04-01,75.1
1976-05-01,76
1976-06-01,76.6
1976-07-01,77.6
1976-08-01,77.7
1976-09-01,77.8
1976-10-01,78.5
1976-11-01,79.6
1976-12-01,81
1977-01-01,79.6
1977-02-01,79.8
1977-03-01,80.6
1977-04-01,81.7
1977-05-01,82.4
1977-06-01,83.1
1977-07-01,84.5
1977-08-01,84.6
1977-09-01,85
1977-10-01,85.7
1977-11-01,87.2
1977-12-01,89
1978-01-01,87.3
1978-02-01,87.6
1978-03-01,88.7
1978-04-01,89.6
1978-05-01,90.6
1978-06-01,91.6
1978-07-01,92.6
1978-08-01,92.9
1978-09-01,93.5
1978-10-01,94.3
1978-11-01,96
1978-12-01,98
1979-01-01,96.1
1979-02-01,96.2
1979-03-01,97.2
1979-04-01,98.4
1979-05-01,99.3
1979-06-01,100.5
1979-07-01,101.9
1979-08-01,102.6
1979-09-01,103.1
1979-10-01,103.8
1979-11-01,105.2
1979-12-01,106.9
1980-01-01,105.1
1980-02-01,105.4
1980-03-01,106.5
1980-04-01,107.3
1980-05-01,108.5
1980-06-01,109.7
1980-07-01,111.3
1980-08-01,112.2
1980-09-01,112.2
1980-10-01,113.3
1980-11-01,115.7
1980-12-01,117.4
1981-01-01,114.5
1981-02-01,114.7
1981-03-01,115.8
1981-04-01,117.3
1981-05-01,118.3
1981-06-01,118.9
1981-07-01,120.4
1981-08-01,120.5
1981-09-01,119.9
1981-10-01,120.4
1981-11-01,122.1
1981-12-01,124.6
1982-01-01,122.3
1982-02-01,122.2
1982-03-01,123.2
1982-04-01,125
1982-05-01,126.6
1982-06-01,127.7
1982-07-01,129.2
1982-08-01,129.6
1982-09-01,129.6
1982-10-01,130.7
1982-11-01,132.2
1982-12-01,134.8
1983-01-01,132.5
1983-02-01,133.2
1983-03-01,135
1983-04-01,137
1983-05-01,138.6
1983-06-01,140.1
1983-07-01,141.8
1983-08-01,142
1983-09-01,142.5
1983-10-01,143.8
1983-11-01,146
1983-12-01,148.6
1984-01-01,146.1
1984-02-01,146.2
1984-03-01,147.7
1984-04-01,149.4
1984-05-01,150.7
1984-06-01,152.7
1984-07-01,154
1984-08-01,154.2
1984-09-01,154.1
1984-10-01,154.3
1984-11-01,156.3
1984-12-01,158.4
1985-01-01,155.5
1985-02-01,155.9
1985-03-01,157.3
1985-04-01,158.6
1985-05-01,160.6
1985-06-01,162.5
1985-07-01,164
1985-08-01,165
1985-09-01,164.7
1985-10-01,165.5
1985-11-01,167.8
1985-12-01,170.1
1986-01-01,167.1
1986-02-01,167.4
1986-03-01,169.3
1986-04-01,170.7
1986-05-01,172.9
1986-06-01,174.4
1986-07-01,176
1986-08-01,176.8
1986-09-01,176.3
1986-10-01,177.6
1986-11-01,180
1986-12-01,182.9
1987-01-01,180.6
1987-02-01,181.3
1987-03-01,182.7
1987-04-01,184.6
1987-05-01,186.8
1987-06-01,188.4
1987-07-01,190.3
1987-08-01,190.7
1987-09-01,190.7
1987-10-01,192.4
1987-11-01,195.7
1987-12-01,199.1
1988-01-01,196.8
1988-02-01,196.9
1988-03-01,198.9
1988-04-01,201.4
1988-05-01,203.4
1988-06-01,205.5
1988-07-01,207.8
1988-08-01,207.7
1988-09-01,207.8
1988-10-01,208.8
1988-11-01,211.1
1988-12-01,214.6
1989-01-01,211.5
1989-02-01,211.7
1989-03-01,213.7
1989-04-01,215
1989-05-01,216.5
1989-06-01,218.2
1989-07-01,219.5
1989-08-01,219
1989-09-01,218.4
1989-10-01,218.7
1989-11-01,220.8
1989-12-01,225
1990-01-01,222.5
1990-02-01,223.9
1990-03-01,226.7
1990-04-01,229.2
1990-05-01,231.4
1990-06-01,234.4
1990-07-01,236.8
1990-08-01,238.9
1990-09-01,240.5
1990-10-01,242.3
1990-11-01,245.2
1990-12-01,249
1991-01-01,249.1
1991-02-01,252.1
1991-03-01,255
1991-04-01,255.5
1991-05-01,256.8
1991-06-01,258.5
1991-07-01,260.3
1991-08-01,261.5
1991-09-01,261.2
1991-10-01,262.7
1991-11-01,265.8
1991-12-01,269.5
1992-01-01,267.3
1992-02-01,269
1992-03-01,270.6
1992-04-01,272.9
1992-05-01,275.2
1992-06-01,276.8
1992-07-01,280.3
1992-08-01,282.5
1992-09-01,284.2
1992-10-01,286.6
1992-11-01,289.6
1992-12-01,294.5
1993-01-01,293.1
1993-02-01,294.9
1993-03-01,297.5
1993-04-01,300.9
1993-05-01,303.9
1993-06-01,306.8
1993-07-01,310.4
1993-08-01,312.2
1993-09-01,314.2
1993-10-01,316.8
1993-11-01,319.2
1993-12-01,324.3
1994-01-01,323.4
1994-02-01,326.8
1994-03-01,330.1
1994-04-01,333.9
1994-05-01,336.7
1994-06-01,340.2
1994-07-01,344.8
1994-08-01,345.7
1994-09-01,347
1994-10-01,349.5
1994-11-01,353.2
1994-12-01,357.6
1995-01-01,355.9
1995-02-01,357.1
1995-03-01,361.4
1995-04-01,365.6
1995-05-01,367.9
1995-06-01,368.2
1995-07-01,369.1
1995-08-01,369
1995-09-01,369.3
1995-10-01,370
1995-11-01,371.7
1995-12-01,376.3
1996-01-01,371.8
1996-02-01,371
1996-03-01,374.4
1996-04-01,376
1996-05-01,377.7
1996-06-01,380.6
1996-07-01,383.8
1996-08-01,385.9
1996-09-01,386.8
1996-10-01,388.9
1996-11-01,392.9
1996-12-01,398
1997-01-01,395.6
1997-02-01,397.6
1997-03-01,401
1997-04-01,403.4
1997-05-01,406.2
1997-06-01,408.5
1997-07-01,411.3
1997-08-01,413.4
1997-09-01,414.2
1997-10-01,417.3
1997-11-01,422.4
1997-12-01,429
1998-01-01,426.4
1998-02-01,429
1998-03-01,431.6
1998-04-01,433.8
1998-05-01,436.2
1998-06-01,438.4
1998-07-01,442.8
1998-08-01,444.5
1998-09-01,448.5
1998-10-01,452.7
1998-11-01,457.6
1998-12-01,464.3
1999-01-01,462.5
1999-02-01,466.6
1999-03-01,471.4
1999-04-01,475.9
1999-05-01,480
1999-06-01,483.2
1999-07-01,487.7
1999-08-01,490
1999-09-01,492.9
1999-10-01,498.3
1999-11-01,505.5
1999-12-01,522.1
2000-01-01,523.6
2000-02-01,517.4
2000-03-01,517.1
2000-04-01,518.3
2000-05-01,519.2
2000-06-01,521
2000-07-01,523
2000-08-01,522.2
2000-09-01,522.9
2000-10-01,524.7
2000-11-01,528.2
2000-12-01,535.6
2001-01-01,532.6
2001-02-01,536.3
2001-03-01,539.7
2001-04-01,542.9
2001-05-01,545.9
2001-06-01,549
2001-07-01,554.7
2001-08-01,562
2001-09-01,566.3
2001-10-01,569.8
2001-11-01,575.6
2001-12-01,585.2
2002-01-01,585
2002-02-01,591.1
2002-03-01,596.1
2002-04-01,599.7
2002-05-01,605.3
2002-06-01,610.6
2002-07-01,615.6
2002-08-01,616.6
2002-09-01,616.3
2002-10-01,618.1
2002-11-01,622.9
2002-12-01,630.2
2003-01-01,628.5
2003-02-01,635
2003-03-01,639.8
2003-04-01,643.2
2003-05-01,646.4
2003-06-01,647.6
2003-07-01,648.5
2003-08-01,650.2
2003-09-01,650.5
2003-10-01,655.4
2003-11-01,659.9
2003-12-01,666.7
2004-01-01,662.3
2004-02-01,665.6
2004-03-01,667.3
2004-04-01,670
2004-05-01,673.7
2004-06-01,678
2004-07-01,685.7
2004-08-01,686
2004-09-01,687.9
2004-10-01,691.7
2004-11-01,697.4
2004-12-01,702.4
2005-01-01,697.3
2005-02-01,700.7
2005-03-01,702.7
2005-04-01,704
2005-05-01,705.2
2005-06-01,708.5
2005-07-01,711.4
2005-08-01,712.2
2005-09-01,714.3
2005-10-01,715.9
2005-11-01,720.6
2005-12-01,729.2
2006-01-01,727.5
2006-02-01,733.8
2006-03-01,737
2006-04-01,738.8
2006-05-01,742
2006-06-01,741.3
2006-07-01,741.3
2006-08-01,740.6
2006-09-01,739.7
2006-10-01,740.8
2006-11-01,746.2
2006-12-01,754.8
2007-01-01,748.6
2007-02-01,750.9
2007-03-01,753.1
2007-04-01,754.3
2007-05-01,756.2
2007-06-01,756.6
2007-07-01,758.4
2007-08-01,757.4
2007-09-01,756.8
2007-10-01,759.7
2007-11-01,762.4
2007-12-01,764
2008-01-01,755.7
2008-02-01,758.9
2008-03-01,762
2008-04-01,759.8
2008-05-01,764.1
2008-06-01,768.9
2008-07-01,774.9
2008-08-01,775.5
2008-09-01,776.8
2008-10-01,793.6
2008-11-01,806.3
2008-12-01,818.9
2009-01-01,826.1
2009-02-01,839
2009-03-01,846.7
2009-04-01,849.5
2009-05-01,851.3
2009-06-01,852.8
2009-07-01,855
2009-08-01,855.9
2009-09-01,857.2
2009-10-01,859.7
2009-11-01,861.3
2009-12-01,865.8
2010-01-01,860.6
2010-02-01,869.8
2010-03-01,875.7
2010-04-01,879.4
2010-05-01,882.5
2010-06-01,884
2010-07-01,887.4
2010-08-01,890.4
2010-09-01,895.1
2010-10-01,904.8
2010-11-01,913.9
2010-12-01,920.7
2011-01-01,917.8
2011-02-01,931.4
2011-03-01,942.8
2011-04-01,952.5
2011-05-01,960.1
2011-06-01,964.6
2011-07-01,970
2011-08-01,973.5
2011-09-01,978.2
2011-10-01,983
2011-11-01,993.6
2011-12-01,1003.5
2012-01-01,1003.5
2012-02-01,1020.5
2012-03-01,1033.9
2012-04-01,1039.3
2012-05-01,1043.6
2012-06-01,1048.1
2012-07-01,1051.6
2012-08-01,1056.4
2012-09-01,1064.1
2012-10-01,1073.4
2012-11-01,1081.8
2012-12-01,1092.3
2013-01-01,1090.1
2013-02-01,1100.5
2013-03-01,1110.3
2013-04-01,1114.7
2013-05-01,1121.2
2013-06-01,1125
2013-07-01,1130.3
2013-08-01,1134.7
2013-09-01,1140.3
2013-10-01,1147.6
2013-11-01,1152.8
2013-12-01,1162
2014-01-01,1158.8
2014-02-01,1172.2
2014-03-01,1195.7
2014-04-01,1204.6
2014-05-01,1210.3
2014-06-01,1213.4
2014-07-01,1217.8
2014-08-01,1221.2
2014-09-01,1222.8
2014-10-01,1228.1
2014-11-01,1239.2
2014-12-01,1254.3
2015-01-01,1259.6
2015-02-01,1272.9
2015-03-01,1285.3
2015-04-01,1290.8
2015-05-01,1295.2
2015-06-01,1296
2015-07-01,1301.1
2015-08-01,1306.2
2015-09-01,1313.8
2015-10-01,1321.6
2015-11-01,1330.7
2015-12-01,1340.4
2016-01-01,1339.4
2016-02-01,1351.1
2016-03-01,1365.7
2016-04-01,1373.4
2016-05-01,1380.4
2016-06-01,1383.7
2016-07-01,1389.2
2016-08-01,1391.9
2016-09-01,1396.7
2016-10-01,1403.3
2016-11-01,1412.6
2016-12-01,1422.4
2017-01-01,1423.2
2017-02-01,1433.4
2017-03-01,1453.1
2017-04-01,1465.1
2017-05-01,1473.9
2017-06-01,1479.9
2017-07-01,1485.7
2017-08-01,1490.7
2017-09-01,1499.7
2017-10-01,1507.6
2017-11-01,1514.8
2017-12-01,1527.4
2018-01-01,1528.7
2018-02-01,1538.2
2018-03-01,1555.3
2018-04-01,1564.9
2018-05-01,1575.9
2018-06-01,1584.5
2018-07-01,1590.1
2018-08-01,1596.2
2018-09-01,1606.9
2018-10-01,1612.4
2018-11-01,1618.5
2018-12-01,1626.7
2019-01-01,1623.6
2019-02-01,1628.5
2019-03-01,1641.6
2019-04-01,1649.3
2019-05-01,1655.6
2019-06-01,1660
2019-07-01,1666.2
2019-08-01,1671.5
2019-09-01,1683.8
2019-10-01,1692.3
2019-11-01,1704.3
2019-12-01,1713.1
2020-01-01,1714
2020-02-01,1718.2
2020-03-01,1747.4
2020-04-01,1784.3
2020-05-01,1824.3
2020-06-01,1857.1
2020-07-01,1884.2
2020-08-01,1908.8
2020-09-01,1929.2
2020-10-01,1944.1
2020-11-01,1957.9
2020-12-01,1973.8
2021-01-01,1988.3
2021-02-01,1999.3
2021-03-01,2019.9
2021-04-01,2053.6
2021-05-01,2068.8
2021-06-01,2080.8
2021-07-01,2087.3
2021-08-01,2091.4
2021-09-01,2099
2021-10-01,2106.7
2021-11-01,2116.8
2021-12-01,2129.7
2022-01-01,2133.9
2022-02-01,2142.1
2022-03-01,2165.1
2022-04-01,2175.4
2022-05-01,2180.7
2022-06-01,2183.9
2022-07-01,2185.3
2022-08-01,2186.5
2022-09-01,2188.6
2022-10-01,2194.5
2022-11-01,2200.7
2022-12-01,2208.6
2023-01-01,2205.1
2023-02-01,2209.4
2023-03-01,2221.8
2023-04-01,2233.2
2023-05-01,2246.1
2023-06-01,2251.5
2023-07-01,2247.5
2023-08-01,2242.7
2023-09-01,2238.7
2023-10-01,2236.8
