"Date","PRIMBORR"
2003-01-01,12
2003-02-01,21
2003-03-01,14
2003-04-01,8
2003-05-01,3
2003-06-01,87
2003-07-01,21
2003-08-01,168
2003-09-01,23
2003-10-01,13
2003-11-01,25
2003-12-01,17
2004-01-01,93
2004-02-01,28
2004-03-01,23
2004-04-01,29
2004-05-01,9
2004-06-01,40
2004-07-01,42
2004-08-01,18
2004-09-01,97
2004-10-01,15
2004-11-01,105
2004-12-01,11
2005-01-01,39
2005-02-01,26
2005-03-01,13
2005-04-01,52
2005-05-01,6
2005-06-01,85
2005-07-01,176
2005-08-01,63
2005-09-01,12
2005-10-01,35
2005-11-01,20
2005-12-01,97
2006-01-01,78
2006-02-01,21
2006-03-01,119
2006-04-01,164
2006-05-01,24
2006-06-01,16
2006-07-01,39
2006-08-01,26
2006-09-01,66
2006-10-01,24
2006-11-01,48
2006-12-01,111
2007-01-01,187
2007-02-01,8
2007-03-01,21
2007-04-01,32
2007-05-01,14
2007-06-01,43
2007-07-01,45
2007-08-01,701
2007-09-01,1345
2007-10-01,126
2007-11-01,315
2007-12-01,3787
2008-01-01,1137
2008-02-01,155
2008-03-01,1617
2008-04-01,9624
2008-05-01,14076
2008-06-01,14225
2008-07-01,15204
2008-08-01,17980
2008-09-01,32632
2008-10-01,94017
2008-11-01,95839
2008-12-01,88245
2009-01-01,70436
2009-02-01,65463
2009-03-01,62513
2009-04-01,47324
2009-05-01,40124
2009-06-01,37302
2009-07-01,34366
2009-08-01,32147
2009-09-01,29243
2009-10-01,25163
2009-11-01,20434
2009-12-01,19025
2010-01-01,16407
2010-02-01,14258
2010-03-01,11136
2010-04-01,6468
2010-05-01,4198
2010-06-01,288
2010-07-01,39
2010-08-01,22
2010-09-01,32
2010-10-01,37
2010-11-01,89
2010-12-01,41
2011-01-01,51
2011-02-01,28
2011-03-01,11
2011-04-01,14
2011-05-01,10
2011-06-01,24
2011-07-01,7
2011-08-01,5
2011-09-01,19
2011-10-01,19
2011-11-01,20
2011-12-01,103
2012-01-01,27
2012-02-01,13
2012-03-01,12
2012-04-01,21
2012-05-01,16
2012-06-01,19
2012-07-01,26
2012-08-01,39
2012-09-01,62
2012-10-01,17
2012-11-01,9
2012-12-01,12
2013-01-01,11
2013-02-01,10
2013-03-01,8
2013-04-01,9
2013-05-01,12
2013-06-01,19
2013-07-01,15
2013-08-01,17
2013-09-01,21
2013-10-01,13
2013-11-01,8
2013-12-01,13
2014-01-01,9
2014-02-01,4
2014-03-01,8
2014-04-01,18
2014-05-01,12
2014-06-01,17
2014-07-01,11
2014-08-01,15
2014-09-01,18
2014-10-01,8
2014-11-01,12
2014-12-01,22
2015-01-01,48
2015-02-01,13
2015-03-01,11
2015-04-01,24
2015-05-01,6
2015-06-01,14
2015-07-01,6
2015-08-01,14
2015-09-01,9
2015-10-01,6
2015-11-01,9
2015-12-01,38
2016-01-01,55
2016-02-01,23
2016-03-01,9
2016-04-01,20
2016-05-01,10
2016-06-01,25
2016-07-01,37
2016-08-01,6
2016-09-01,12
2016-10-01,5
2016-11-01,8
2016-12-01,13
2017-01-01,11
2017-02-01,17
2017-03-01,7
2017-04-01,21
2017-05-01,11
2017-06-01,15
2017-07-01,12
2017-08-01,7
2017-09-01,10
2017-10-01,4
2017-11-01,11
2017-12-01,43
2018-01-01,51
2018-02-01,7
2018-03-01,4
2018-04-01,16
2018-05-01,25
2018-06-01,17
2018-07-01,20
2018-08-01,18
2018-09-01,38
2018-10-01,21
2018-11-01,11
2018-12-01,18
2019-01-01,20
2019-02-01,7
2019-03-01,7
2019-04-01,14
2019-05-01,18
2019-06-01,20
2019-07-01,9
2019-08-01,16
2019-09-01,15
2019-10-01,4
2019-11-01,4
2019-12-01,10
2020-01-01,5
2020-02-01,3
2020-03-01,19538
2020-04-01,38299
2020-05-01,22180
2020-06-01,8456
2020-07-01,4670
2020-08-01,2851
