"Date","OCDNS"
1959-01-01,0
1959-02-01,0
1959-03-01,0
1959-04-01,0
1959-05-01,0
1959-06-01,0
1959-07-01,0
1959-08-01,0
1959-09-01,0
1959-10-01,0
1959-11-01,0
1959-12-01,0
1960-01-01,0
1960-02-01,0
1960-03-01,0
1960-04-01,0
1960-05-01,0
1960-06-01,0
1960-07-01,0
1960-08-01,0
1960-09-01,0
1960-10-01,0
1960-11-01,0
1960-12-01,0
1961-01-01,0
1961-02-01,0
1961-03-01,0
1961-04-01,0
1961-05-01,0
1961-06-01,0
1961-07-01,0
1961-08-01,0
1961-09-01,0
1961-10-01,0
1961-11-01,0
1961-12-01,0
1962-01-01,0
1962-02-01,0
1962-03-01,0
1962-04-01,0
1962-05-01,0
1962-06-01,0
1962-07-01,0
1962-08-01,0
1962-09-01,0
1962-10-01,0
1962-11-01,0
1962-12-01,0
1963-01-01,0.1
1963-02-01,0.1
1963-03-01,0.1
1963-04-01,0.1
1963-05-01,0.1
1963-06-01,0.1
1963-07-01,0.1
1963-08-01,0.1
1963-09-01,0.1
1963-10-01,0.1
1963-11-01,0.1
1963-12-01,0.1
1964-01-01,0.1
1964-02-01,0.1
1964-03-01,0.1
1964-04-01,0.1
1964-05-01,0.1
1964-06-01,0.1
1964-07-01,0.1
1964-08-01,0.1
1964-09-01,0.1
1964-10-01,0.1
1964-11-01,0.1
1964-12-01,0.1
1965-01-01,0.1
1965-02-01,0.1
1965-03-01,0.1
1965-04-01,0.1
1965-05-01,0.1
1965-06-01,0.1
1965-07-01,0.1
1965-08-01,0.1
1965-09-01,0.1
1965-10-01,0.1
1965-11-01,0.1
1965-12-01,0.1
1966-01-01,0.1
1966-02-01,0.1
1966-03-01,0.1
1966-04-01,0.1
1966-05-01,0.1
1966-06-01,0.1
1966-07-01,0.1
1966-08-01,0.1
1966-09-01,0.1
1966-10-01,0.1
1966-11-01,0.1
1966-12-01,0.1
1967-01-01,0.1
1967-02-01,0.1
1967-03-01,0.1
1967-04-01,0.1
1967-05-01,0.1
1967-06-01,0.1
1967-07-01,0.1
1967-08-01,0.1
1967-09-01,0.1
1967-10-01,0.1
1967-11-01,0.1
1967-12-01,0.1
1968-01-01,0.1
1968-02-01,0.1
1968-03-01,0.1
1968-04-01,0.1
1968-05-01,0.1
1968-06-01,0.1
1968-07-01,0.1
1968-08-01,0.1
1968-09-01,0.1
1968-10-01,0.1
1968-11-01,0.1
1968-12-01,0.1
1969-01-01,0.1
1969-02-01,0.1
1969-03-01,0.1
1969-04-01,0.1
1969-05-01,0.1
1969-06-01,0.1
1969-07-01,0.1
1969-08-01,0.1
1969-09-01,0.1
1969-10-01,0.1
1969-11-01,0.1
1969-12-01,0.1
1970-01-01,0.1
1970-02-01,0.2
1970-03-01,0.2
1970-04-01,0.2
1970-05-01,0.2
1970-06-01,0.2
1970-07-01,0.2
1970-08-01,0.2
1970-09-01,0.2
1970-10-01,0.1
1970-11-01,0.1
1970-12-01,0.1
1971-01-01,0.1
1971-02-01,0.1
1971-03-01,0.2
1971-04-01,0.2
1971-05-01,0.2
1971-06-01,0.2
1971-07-01,0.2
1971-08-01,0.2
1971-09-01,0.2
1971-10-01,0.2
1971-11-01,0.2
1971-12-01,0.2
1972-01-01,0.2
1972-02-01,0.2
1972-03-01,0.2
1972-04-01,0.2
1972-05-01,0.2
1972-06-01,0.2
1972-07-01,0.2
1972-08-01,0.2
1972-09-01,0.2
1972-10-01,0.2
1972-11-01,0.2
1972-12-01,0.2
1973-01-01,0.2
1973-02-01,0.3
1973-03-01,0.3
1973-04-01,0.3
1973-05-01,0.3
1973-06-01,0.3
1973-07-01,0.3
1973-08-01,0.3
1973-09-01,0.3
1973-10-01,0.3
1973-11-01,0.3
1973-12-01,0.3
1974-01-01,0.3
1974-02-01,0.3
1974-03-01,0.4
1974-04-01,0.4
1974-05-01,0.4
1974-06-01,0.4
1974-07-01,0.4
1974-08-01,0.4
1974-09-01,0.4
1974-10-01,0.4
1974-11-01,0.4
1974-12-01,0.4
1975-01-01,0.5
1975-02-01,0.5
1975-03-01,0.6
1975-04-01,0.6
1975-05-01,0.6
1975-06-01,0.7
1975-07-01,0.7
1975-08-01,0.7
1975-09-01,0.7
1975-10-01,0.8
1975-11-01,0.8
1975-12-01,0.9
1976-01-01,1
1976-02-01,1.1
1976-03-01,1.2
1976-04-01,1.4
1976-05-01,1.5
1976-06-01,1.7
1976-07-01,1.8
1976-08-01,2
1976-09-01,2.2
1976-10-01,2.3
1976-11-01,2.5
1976-12-01,2.7
1977-01-01,2.8
1977-02-01,2.9
1977-03-01,3.1
1977-04-01,3.1
1977-05-01,3.2
1977-06-01,3.3
1977-07-01,3.5
1977-08-01,3.6
1977-09-01,3.8
1977-10-01,3.9
1977-11-01,4
1977-12-01,4.2
1978-01-01,4.3
1978-02-01,4.4
1978-03-01,4.5
1978-04-01,4.7
1978-05-01,4.8
1978-06-01,4.9
1978-07-01,5
1978-08-01,5.1
1978-09-01,5.2
1978-10-01,5.3
1978-11-01,6.7
1978-12-01,8.5
1979-01-01,10.1
1979-02-01,11
1979-03-01,12.2
1979-04-01,13.6
1979-05-01,13.8
1979-06-01,14.7
1979-07-01,15.6
1979-08-01,16.1
1979-09-01,16.6
1979-10-01,16.6
1979-11-01,16.5
1979-12-01,16.9
1980-01-01,17.6
1980-02-01,17.9
1980-03-01,18.4
1980-04-01,19.4
1980-05-01,18.9
1980-06-01,20.4
1980-07-01,21.9
1980-08-01,23.1
1980-09-01,24.6
1980-10-01,25.6
1980-11-01,27.8
1980-12-01,28.2
1981-01-01,44.5
1981-02-01,52.9
1981-03-01,59.1
1981-04-01,67.7
1981-05-01,65
1981-06-01,67.3
1981-07-01,69.4
1981-08-01,70.4
1981-09-01,72.4
1981-10-01,73.1
1981-11-01,75.9
1981-12-01,79
1982-01-01,83
1982-02-01,82
1982-03-01,84.2
1982-04-01,90.1
1982-05-01,85.9
1982-06-01,87.8
1982-07-01,88.5
1982-08-01,90.4
1982-09-01,93.8
1982-10-01,97.9
1982-11-01,102.2
1982-12-01,104.6
1983-01-01,107.5
1983-02-01,110
1983-03-01,114.3
1983-04-01,120.5
1983-05-01,118.6
1983-06-01,122
1983-07-01,124
1983-08-01,124.9
1983-09-01,126.5
1983-10-01,128.6
1983-11-01,130.6
1983-12-01,132.9
1984-01-01,134.4
1984-02-01,132.9
1984-03-01,136.2
1984-04-01,141.4
1984-05-01,138.1
1984-06-01,140.7
1984-07-01,140.5
1984-08-01,140.2
1984-09-01,142
1984-10-01,142.2
1984-11-01,144.8
1984-12-01,148.4
1985-01-01,151.1
1985-02-01,151.2
1985-03-01,154.9
1985-04-01,161.5
1985-05-01,157.4
1985-06-01,162.5
1985-07-01,164.7
1985-08-01,167.9
1985-09-01,170.9
1985-10-01,173.1
1985-11-01,177.3
1985-12-01,181.2
1986-01-01,183.6
1986-02-01,182.1
1986-03-01,186.7
1986-04-01,196.3
1986-05-01,194.9
1986-06-01,201.4
1986-07-01,205.4
1986-08-01,210.6
1986-09-01,215.7
1986-10-01,220.8
1986-11-01,228.3
1986-12-01,237.4
1987-01-01,245.2
1987-02-01,242.7
1987-03-01,247.7
1987-04-01,260.3
1987-05-01,252.4
1987-06-01,254.5
1987-07-01,254.5
1987-08-01,255.8
1987-09-01,257.8
1987-10-01,258.8
1987-11-01,259.7
1987-12-01,261.8
1988-01-01,265.6
1988-02-01,262.3
1988-03-01,266.6
1988-04-01,278.3
1988-05-01,270.6
1988-06-01,275.1
1988-07-01,277.4
1988-08-01,277
1988-09-01,277.5
1988-10-01,276.6
1988-11-01,279.4
1988-12-01,283.5
1989-01-01,284
1989-02-01,278
1989-03-01,278.7
1989-04-01,285.9
1989-05-01,270
1989-06-01,271.4
1989-07-01,272.4
1989-08-01,273.4
1989-09-01,276.3
1989-10-01,277.8
1989-11-01,281.8
1989-12-01,288.2
1990-01-01,289.4
1990-02-01,285.2
1990-03-01,289.9
1990-04-01,300.8
1990-05-01,288.7
1990-06-01,292.3
1990-07-01,289.3
1990-08-01,289.2
1990-09-01,290.8
1990-10-01,288.3
1990-11-01,291.8
1990-12-01,297
1991-01-01,298
1991-02-01,295
1991-03-01,301.6
1991-04-01,311.8
1991-05-01,304.8
1991-06-01,310.8
1991-07-01,312.1
1991-08-01,315.2
1991-09-01,318.4
1991-10-01,320.5
1991-11-01,328.6
1991-12-01,336.3
1992-01-01,342.2
1992-02-01,342.7
1992-03-01,349.5
1992-04-01,360.2
1992-05-01,352.6
1992-06-01,355.6
1992-07-01,356.3
1992-08-01,360
1992-09-01,364.6
1992-10-01,370.1
1992-11-01,380.6
1992-12-01,388.9
1993-01-01,393.8
1993-02-01,385.6
1993-03-01,389.4
1993-04-01,398.9
1993-05-01,393.5
1993-06-01,397.8
1993-07-01,399.3
1993-08-01,400.2
1993-09-01,403.9
1993-10-01,406.3
1993-11-01,411.9
1993-12-01,419.4
1994-01-01,418.6
1994-02-01,409.7
1994-03-01,413.5
