"Date","H0MMFINM"
1996-04-01,284.5
1996-05-01,286.7
1996-06-01,291
1996-07-01,297.6
1996-08-01,303.8
1996-09-01,309.5
1996-10-01,311.7
1996-11-01,317.6
1996-12-01,324.2
1997-01-01,326.6
1997-02-01,334.6
1997-03-01,342.6
1997-04-01,344.7
1997-05-01,349.6
1997-06-01,356.7
1997-07-01,365.5
1997-08-01,372.1
1997-09-01,381.2
1997-10-01,386.7
1997-11-01,388.5
1997-12-01,396.9
1998-01-01,405.2
1998-02-01,409.9
1998-03-01,418.6
1998-04-01,433.1
1998-05-01,446
1998-06-01,458.6
1998-07-01,466.1
1998-08-01,478.5
1998-09-01,493
1998-10-01,513.4
1998-11-01,529.6
1998-12-01,541.2
1999-01-01,546
1999-02-01,559.3
1999-03-01,558.8
1999-04-01,570.3
1999-05-01,576.2
1999-06-01,581.2
1999-07-01,582
1999-08-01,591.2
1999-09-01,595.4
1999-10-01,606.1
1999-11-01,623.4
1999-12-01,638.2
2000-01-01,653.3
2000-02-01,655.7
2000-03-01,671.5
2000-04-01,677
2000-05-01,684
2000-06-01,693.9
2000-07-01,721.3
2000-08-01,740.8
2000-09-01,762.3
2000-10-01,767.6
2000-11-01,773.4
2000-12-01,791.9
2001-01-01,831.1
2001-02-01,892.4
2001-03-01,916.3
2001-04-01,951.1
2001-05-01,998.7
2001-06-01,1032.4
2001-07-01,1048.7
2001-08-01,1037.2
2001-09-01,1091
2001-10-01,1153.8
2001-11-01,1173.1
2001-12-01,1196.7
2002-01-01,1188.6
2002-02-01,1197.8
2002-03-01,1198.6
2002-04-01,1208
2002-05-01,1212.2
2002-06-01,1210.1
2002-07-01,1207.4
2002-08-01,1198.4
2002-09-01,1185
2002-10-01,1150.4
2002-11-01,1216.6
2002-12-01,1247.7
2003-01-01,1222.8
2003-02-01,1213.7
2003-03-01,1198.5
2003-04-01,1179
2003-05-01,1161.1
2003-06-01,1163
2003-07-01,1202.9
2003-08-01,1173
2003-09-01,1174.1
2003-10-01,1156.2
2003-11-01,1136.9
2003-12-01,1117.5
2004-01-01,1118.9
2004-02-01,1116.1
2004-03-01,1124
2004-04-01,1127.8
2004-05-01,1132.3
2004-06-01,1126.6
2004-07-01,1112.5
2004-08-01,1106.2
2004-09-01,1094.8
2004-10-01,1076
2004-11-01,1071.4
2004-12-01,1068.7
2005-01-01,1062.8
2005-02-01,1054.5
2005-03-01,1049.7
2005-04-01,1057.9
2005-05-01,1058.3
2005-06-01,1069.6
2005-07-01,1079.1
2005-08-01,1091.8
2005-09-01,1107.9
2005-10-01,1119.8
2005-11-01,1121.1
2005-12-01,1136.8
2006-01-01,1150.8
2006-02-01,1148
